,Claim Description,Coverage Code,Accident Source
10,SMALL PD IV DRIVER WAS LOADING THE COMPACTOR AND FORGOT TO        DISCONNECT THE HYDRAULIC AND ELECTRICAL LINES. THE LINES AND      FITTINGS WERE BROKEN AND THE HYDRAULIC UNIT WAS MOVED FROM IT'S   ORIGINAL LOCATION.,AL,Struck animal or object
11,MEMBER CLAIMS 17 DAYS AFTER HIS SERVICE THAT HE NOTICED THE TWO   DRIVER SIDE CENTER WHEEL CAPS ARE ROTATING.,GD,Alleged Negligent Act
12,"EMPLOYEE WAS DRIVING SOUTHBOUND ON ALMOND AVE/GOLDEN STATE BLVD INMADERA CA, WHEN VEHICLE IN FRONT OF HIM ABBRUPTLY STOPPED.        EMPLOYEE REAR-ENDED 2ND PARTY VEHICLE.",AD,Sideswipe or lane change
13,"INJURIES | DRIVER GUIDED THE STUDENT TO THE FRONT OF THE BUS TO   THE DOOR AND TOLD THE STUDENT TO GET OFF THE BUS, AND GO WITH THE PRINCIPLE. DRIVER TOLD STUDENT HE WAS BEING TOO DISRESPECTFUL AND NOT FOLLOWING BUS SAFETY RULES. WHEN STUDENT GOT OFF THE BUS HE   WAS DANCING AROUND AND JUMPING UP AND DOWN. PRINCIPLE TOOK STUDENTBACK INTO SCHOOL. STUDENT LATER CLAIMED THAT THE DRIVER PUSHED HIMINTO HIS SEAT AND FRACTURED HIS ELBOW.",AB,Malicious Mischief
14,THE COMPRESSOR ON THE REFRIGERATOR IN THE KITCHEN BROKE. ALL OF   THE FOOD AND MILK WENT BAD AND HAD TO BE THROWN AWAY.,RC,"Plumbing,Heating,AC,Discharge,Overflowing"
15,"OFFICER RUIZ WAS ON A CALL OF A DOMESTIC DISTURBANCE. AS THEY WEREESCORTING OFF THE PREMISES DOWN THE STAIRS, THE OFFICER FELL DOWN ON THE STAIRS, CAUSING PAIN TO HIS HEAD, NECK AND BACK.",NS,Stairs
16,INSURED VEHICLE HIT THIRD PARTY VEHICLE WHILE MANEUVERING CAUSING VEHICLE DAMAGE.,AD,Reversing/Manoeuvring
17,CLAIMANT SUFFERED PROPERTY DAMAGE DUE TO EXCAVATION,GD,"Excavation, trench, tunnel"
18,CLIENT VEHICLE BACKED INTO CLAIMANT BUILDING CAUSING ROOF DAMAGES.,AD,"Struck building, overhang"
19,MOSQUITO APPLICATION CAUSED INTERIOR PROPERTY DAMAGE THAT REQUIREDCOMPLETE CLEANUP & REPLACEMENT,GD,Emissions of chemicals and/or gases
20,"CLAIMANT ALLEGES THEY ORDERED HOT COFFEE BUT WHEN THE COFFEE WAS  HANDED TO HIM, THE LID POPPED OFF. THE HOT COFFEE CAUSED 2ND      DEGREE BURNS ON HIS HAND, AND SPILLED ON THE INTERIOR OF HIS CAR  AND THE OUTSIDE.",PA,Alleged Negligent Act
21,CRACKED WINDSHIELD,AD,Vehicle - passenger
22,THIRD PARTY HIT CUSTOMER IN REAR CAUSING DAMAGE AND LOSS,AU,Hit in Rear by Third Party
23,CLAIMANT ALLEGES SHE WAS CLIMBING ON THE DRINKING STATION. SHE    SLIPPED. IT IS UNKNOWN IF SHE FELL.SHE LACERATED HER LEFT LEG ON  THEDRINKING STATION.,GB,Alleged improper maintenance - other
24,"SMALL PD:WHILE SERVICING A CONTAINER AT THE CUSTOMER LOCATION, THEBIN STRUCK A ROLL UP DOOR DAMAGING THE DOOR.NO INJURY.",AL,Struck dock/garage door
25,"INSURED IS EASTBOUND ON HILLSIDE AVE. DRIVER OF MERCEDESBENZ      SPRINTER4500 IS AT THE STOP SIGN ON HARDING TERRACE. DRIVER       OFMERCEDES BENZ SPRINTER4500 HAS A STOP SIGN, INSURED VEHICLE HAS THERIGHT OF WAY. DRIVER OF MERCEDES BENZ SPRINTER4500 THEN        PROCEEDS TOTURN LEFT FROM THE STOP SIGN ONTO HILLSIDE AVE. INSUREDRECOGNIZES THISAND TAKES EVASIVE ACTION BY DUMPING HIS BIKE TO    AVOID A COLLISION.",AD,Intersection accident
26,"SP DRIVER WAITING TO MAKE LEFT TURN, WENT TO TURN ON YELLOW LIGHT,THOUGHT HE HAD ENOUGH CLEARANCE BUT DID NOT, SP DRIVER HIT VEHICLE#2 FRONT DRIVER SIDE WITH SP FRONT DRIVER SIDE. NO INJ/TOWS.      DRIVERS WENT TO POLICE DEPARTMENT & FILED REPORT.",AD,Our vehicle turning left
27,VEHICLE ENTERED THE PARKING LOT INCORRECTLY. THEY ATTEMPTED TO    TURN AROUND AND STRUCK THE ORDER TAKING POLE.,RB,Alleged Negligent Act
28,ALLEGED IMPROPER MISHANDLING OF DECEDENT REMAINS.,PL,Alleged Negligent Act
29,NO INJURIES ANOTHER VEHICLE HIT THE DRIVERS SIDE MIRROW BUT NO    DAMAGES OCCUR TO THE TRANSIT BUS.,AP,Sideswipe or lane change
30,CLAIMANT SHIVERING IN AN UNCONTROLLABLE STATE  DUE TO DEFECTIVE   COLD CAB HEATERS .,EL,Alleged improper maintenance - other
31,CLIENT DRIVER CAUSED 5 VEHICLE REAR-END COLLISION ACCIDENT,AP,Struck vehicle in rear
32,"SMALL PD: WHILE THE IV ATTEMPTED TO CENTER IN THE LANE AFTER THE  ROUNDABOUT, THE IV SIDESWIPED THE D/S BUMPER AND QUARTER PANEL OF THE PARKED AND UNOCCUPIED OV. NO INJURIES. NO DAMAGE TO THE IV.   THERE WAS DAMAGE TO THE D/S BUMPER AND QUARTER PANEL ON THE OV.",AL,Struck parked vehicle
33,"AS PER CUSTOMER HE DROVE INTO THE SOIL CAGE- GET SOIL LOADED ,SAIDHE DROVE ON THE STRAPPING AND CLIP LYING ON THE GROUND AND IT     PUNCTURED HIS TIRE.  THE LOADING ASSOICATE IN THE SOIL CAGE SAID  THE STRAPING AND CLIP WAS ALREADY THERE WHEN HE DROVE IN.",GD,Alleged Negligent Act
34,CLAIMANT ALLEGES DISCRIMINATION AND A VERBAL ALTERCATION WITH THE EE RESULTING IN PHYSICAL DISTRESS.,PI,Alleged Negligent Act
35,DOL 01.09.23 IV STRUCK PARKED VEHICLE.,AD,Struck parked vehicle
36,AGG UUW FOOT CHASE,NS,"Human Action, NOC"
37,"THE IV WAS TURNING LEFT OUT OF THE PARKING LOT, WHEN IT WAS STRUCKON THE D/S BY THE OV, WHICH HAD PULLED AROUND ANOTHER VEHICLE. THEIV WAS SCRAPED ON THE D/S FROM THE FRONT ABOVE THE WHEEL TO THE   BACK ABOVE THE WHEEL. THE OV FRONT BUMPER WAS SCRAPED AND DENTED. NO INJURY REPORTED.",AD,Struck parked vehicle
38,"SP VEHICLE ATTEMPTED TO DRIVE THROUGH A CLOSING GATE. THE GATE    CLOSED ON THE SP VEHICLE, CAUSING THE GATE TO BREAK. NO INJURIES, NO TOW, NO POLICE.",AD,Struck animal or object
39,LOST BALANCE BACKING UP,GB,Ground/floor
40,CLAIMANT ALLEGES CONSUMPTION OF ELMIRON CAUSED VISION RELATED     INJURIES,PA,"Alleged product loss, NOC"
41,UNKNOWN.,PB,Not Otherwise Classified
42,"SMALL PD. THE IV DRIVER PUSHED ON THE GATE AT THE END OF THE      DRIVEWAY, AND DAMAGED THE MOTOR ON THE GATE.",AL,Struck animal or object
43,SMALL PD. THE IV DRIVER WAS SERVING A CAN WHEN HE LEFT A RUT BY   THE DUMPSTER DUE THE WEATHER CONDITIONS.,AL,Damage to landscaping
44,THE PASSENGER WAS ON THE IV WHEN SHE BROKE HER ANKLE.,AB,Alleged damage to property of others
45,"OUR DRIVER (HOOBER EMPLOYEE DWAINE LANDIS) WAS TRAVELLING         SOUTHBOUND ON I-81 IN MARYLAND.  A MOTORHOME TOWING A FORD BRONCO WAS TWO VEHICLES IN FRONT OF OUR DRIVER.  THE FORD BRONCO CAME    UNHITCHED FROM THE MOTORHOME.  VEHICLE DIRECTLY IN FRONT OF       MOTORHOME SLAMMED ON BRAKES, AS DID OUR DRIVER.  OUR DRIVER HIT   THE LEFT REAR CORNER OF THE VEHICLE IN FRONT OF HIM AND THEN WAS  REAR-ENDED BY THE VEHICLE BEHIND HIM (A GARBAGE TRUCK).",AD,Struck vehicle in rear
46,NO INJURIES WHILE TURNING INTO A GAS STATION FS HIT OV WITH TAIL  SWING.,AD,Struck parked vehicle
47,IV LEFT TURN AND STRUCK CV IN DRIVERS SIDE DOOR,AB,Our vehicle turning left
48,"SP VEHICLE WAS PARKED AND OCCUPIED ON THE SIDE OF THE ROAD WITH   HAZARDS ON. CLAIMANT VEHICLE WAS DRIVING ON THE ROAD AND STRUCK   THE REAR DRIVER SIDE OF SP VEHICLE. CLAIMANT CONTINUED DRIVING. NOINJURIES, NO TOW, YES POLICE.",AD,Struck parked vehicle
49,CLAIMANT DROVE OVER POTHOLE CAUSING VEHICLE DAMAGE,GD,Not Otherwise Classified
50,"CSP PASSED A LOCATION, REVERSED AND HIT VEHICLE THAT WAS BEHIND HIM. NO INJ AND NO TOW",AB,Vehicle Accident
51,"WALKING IN BACKROOM, STEPPED ON A SIGN ON FLOOR AND FELL          BACKWARDS. TRIED TO BREAK FALL WITH RIGHT ARM, HURTING LOWER BACK AND HITTING HEAD",GB,Alleged Negligent Act
52,"DESCRIPTION OF WHAT HAPPENED TO CAUSE INJURY (LIST ALL DETAILS,   SPECIFIC DETAILS ON LOCATION, ACTIONS, OBJECTS AND PRODUCTS USED):ACCORDING TO SHARON THE CREDITS ON THE MOVIE JUST STARTED, AND ONEWOMAN GUEST SHE WAS START ARGUING AND SHARON SHE TOLD TO THE OTHERGUEST TO CALM DOWN, AND IF SHE CONTINUES WITH THE DISCUSSION SHE  NEED CALL THE POLICE, IMMEDIATELY THE OTHER CUSTOMER SHE THROW A  ICEE CUP TO SHARON AND THE CUP HIT THE BOTTOM PART OF HER HEAD,   WHEN THE ASSAILANT TRIED TO LEAVE THEY",GB,Assault and/or abuse
53,A PATRON WAS BLEEDING FROM THE FACE DUE TO A LACERATION NEAR      DICK'S SPORTING GOODS; THE PATRON CLAIMED TO HAVE FALLEN DOWN     ESCALATOR BANK 2 UNIT 6 WHILE TRAVELING FROM THE FOURTH TO THIRD  FLOOR.,GB,Alleged Negligent Act
54,MEMBER BROKE TOOTH WHILE EATING KS SIGNATURE ANGUS BEEF DUE TO    BONE IN PRODUCT,PA,Alleged foreign object in product
55,MEMBER WENT SHOPPING CAME BACK OUT TO CAR AND NOTICED THE FRONT   BUMPER WAS SMASHED.,GD,Alleged Negligent Act
56,"SMALL PD: THE IV DRIVER WAS ATTEMPTING TO PICK UP THE             CONTAINER IN A RESIDENTIAL NEIGHBORHOOD, WHEN THE HYDRAULICS      FAILED, AND IT SPRAYED HYDRAULIC FLUID ONTO A DRIVEWAY, AND GOT   ONTO OV1 AND OV2. NO INJURIES REPORTED.",AL,Oil or grease
57,THE CUSTOMER WAS WALKING ON THE SIDE LOT WHEN SHE TRIPPED OVER A  PANEL THAT WAS ON THE GROUND. THE CUSTOMER SUSTAINED A SCRATCH TO THE PALM OF HER LEFT HAND AND A CONTUSION TO HER RIGHT FOREARM.,GB,"Walk, path, sidewalk"
58,WHILE PACKING THE LOAD AFTER SERVING THE CUSTOMER THE IV HEARD    POPS FROM THE LOAD AND OBSERVED THE DUMP LOAD ON FIRE. THERE WAS  NO DAMAGE TO THE IV AND THERE WAS NO INJURY REPORTED.,AL,Fire - Auto
59,WHEN EATING SALAD I FELT SOMETHING HARD.  I SPIT IT OUT AND FOUND IT WAS A PIECE OF GLASS,PA,Alleged foreign object in product
60,DRIVER WAS MAKING A TIGHT RIGHT TURN AND TRAILER HIT PARKED       VEHICLE.,AD,Struck parked vehicle
61,CUSTOMER SAID THAT THE COVER PIECE FOR THE TOP OF HER RACKS BLEW  OFF AT THE BLOWERS AND BROKE ON THE PASSENGER SIDE BACKSIDE. THE  FRONT ONE ON THE PASSENGER SIDE WAS BROKE UPON ARRIVAL.,GD,Alleged Negligent Act
62,"HPS BACKHOE WAS PARKED AT THE DEAD END OF A SERVICE ROAD CLEARLY  MARKED ROAD CLOSED. THIS WAS ON A SATURDAY NIGHT, NOT DURING WORK HOURS. A NISSAN MURANO WAS TRAVELING DOWN THE SERVICE ROAD, RAN   OFF THE ROAD AND RAN INTO HPS BACKHOE. THE NISSAN SUSTAINED       DAMAGE. WE RECEIVED A NOTIFICATION VIA EMAIL FROM A LEGAL FIRM    REPRESENTING THE DRIVER OF THE NISSAN MURANO. SEE ATTACHED. NO    CLAIM FOR HPS BACKHOE. ACCORDING TO THE POLICE REPORT AND WHAT    EVIDENCE WE GATHERED WE DO NOT FEEL AT",GD,Sideswipe or lane change
63,"SMALL PD THE DRIVER OF THE IV WAS TURNING AROUND AND IN THE       PROCESS THE IV D/S DRIVE TIRES, RAN OVER A SMALL PLASTIC CABLE BOXCAUSING DAMAGE. NO INJURIES REPORTED.",AL,Struck animal or object
64,"IV DRIVER WAS MAKING A RIGHT TURN ONTO US HWY 1 ON A RED LIGHT, OVDRIVER WAS MAKING A U TURN ON GREEN LIGHT ON US HWY 1. IV DRIVER  STRUCK THE OV DRIVER IN THE REAR. OV INCURRED DAMAGE TO REAR      BUMPER, D/S REAR, P/S REAR. THERE WERE NO INJURIES REPORTED.",AD,Struck vehicle in rear
65,CUSTOMER CLAIMED SHE TRIPPED ON A SHOPPING CART SAFETY ROPE.      CUSTOMER CLAIMED IT WAS BEHIND A ROW OF CARTS.,GB,Alleged Negligent Act
66,"THE IV REAR ENDED THE OV WHILE STOPPED AT THE PEDESTRIAN          CROSSWALK. THE IV INCURRED A RIPPED D/S FRONT FENDER, DENTED D/S  FRONT WHEEL WELL AND BENT UNDERCARRIAGE. THE OV INCURRED DENTED   REAR BUMPER, P/S REAR QUARTER PANEL AND TAILGATE AND A BROKEN P/S TAILLIGHT. NO INJURIES WERE REPORTED.",AP,Our vehicle struck in rear
67,ISSUE WITH V1 TRUCK BREAKS WERE NOT WORKING AND ALSO THERE WAS    SOME MECHENICAL ISSUE IWTH THE V1 TRUCK,AD,Other - comprehensive
68,ONE OF THE WHEEL LOCK GOT BROKEN. NOW I HAVE TO PURCHASE WHEEL    LOCKS FOR ALL 4 TIRE. I HAD TO TAKE THE CAR TO DEALER.,GD,Alleged Negligent Act
69,THE IV DRIVER WAS DRIVING IN THE PARKING LOT AT THE COMMERCIAL    BUSINESS WHEN THE IV BACKED OUT OF A PARKING SPOT AND STRUCK THE  D/S REAR FENDER AND DOOR OF THE OV. THE IV HAS D/S REAR FENDER ANDDOOR DAMAGE. NO INJURIES SUSTAINED. THE OV HAS SCRATCHES AND A    DENT ON THE D/S FRONT AND REAR DOORS.,AD,Backed into vehicle or object
70,THERE WAS WATER DAMAGE TO THE INSURED PROPERTY DUE TO WATER       LEAKAGE FROM SERVICING.,GD,Alleged Negligent Act
71,"AFTER PUMPING GAS AT PUMP 7, THE CUSTOMER DROVE OFF WITH THE HOSE STILL IN THE VEHICLE. THIS CAUSED THE BREAKAWAY TO DETACH. NO     INJURIES WERE REPORTED.",RB,Not Otherwise Classified
72,THE TENANT WAS WALKING IN HIS APARTMENT WHEN HE SLIPPED AND FELL  IN A PUDDLE OF WATER CAUSED BY A LEAK IN THE ROOF. THE TENANT     SUSTAINED INJURIES TO THE BACK AND NECK.,GB,Alleged improper maintenance - other
73,"OUR DRIVER, GUSTAVO VAZQUEZ, ATTEMPTED TO MAKE A LANE CHANGE AND STRUCK OV .",AD,Sideswipe or lane change
74,"THE IV WAS AT A STOP SIGN WHEN IT PULLED OFF TO MAKE A RIGHT TURN,AND THE MACHINERY AT THE BACK OF THE IV STRUCK THE OV'S FRONT     BUMPER AND PULLED IT OFF. NO INJURIES WERE REPORTED.",AD,Struck vehicle in rear
75,"TSP DRIVER WAS HOOKING HIS REAR TRAILER, AND HIT  TRAILER 812164, THAT WAS NEXT TO HIM. PUTTING A HOLE IN THE SKIRT OF THE TRAILER  HE WAS HOOKING UP TO.",AD,Struck parked vehicle
76,SMALL PD IV WAS BACKING UP FROM AN ALLEY AND STRUCK AN OVERHEAD   CABLE CAUSING IT TO BREAK. NO DAMAGE TO THE IV.NO INJURIES WERE   REPORTED.,AL,Struck/pulled down wires
77,V1 WAS PULLING THROUGH THE PARKING LOT AND STRUCK V2.,AD,Alleged damage to property of others
78,IV MADE CONTACT WITH OV AS IV WAS BACKING OUT OF A SHOPPING MALL.,AD,Backed into vehicle or object
79,DRIVER FELL ASLEEP AT THE WHEEL MAKING CONTACT AND REAR-ENDING V2,AP,Our vehicle struck in rear
80,"DAVID WAS BACKING INTO THE DOCK, THERE WAS A CAR PARKED IN FRONT  SO DAVID TRIED TO CUT HIS TURN THAT'S WHEN HE HIT THE CEMENT RAIL AND SCRAPED THE PAINT OFF THE TOP.",AD,Backed into vehicle or object
81,CLAIMANT DROVE OVER A POTHOLE CAUSING VEHICLE DAMAGE.,GD,Pothole
82,THE CLAIMANT ALLEGES THAT DEBRIS FELL FROM THE IV AND HIT THEIR   WINDSHIELD WHILE DRIVING DOWN THE HIGHWAY. THE OV INCURRED        WINDSHIELD DAMAGE. THERE WERE NO INJURIES REPORTED.,AL,Road debris/road hazard
83,"THE INSUREDS TRUCK PULL INTO A LOW CLEARANCE LOADING AREA, AND        SCRAPPED UP SOME OF THE BUILDING AT 240 PARK AVE.",AP,Sideswipe or lane change
84,"WHILE BACKING OUT OF A PARKING SPACE AT A CUSTOMERS PREMISE, IV   BACKED INTO OV. NO INJURIES. DAMAGE TO BOTH VEHICLES.",AD,Backed into vehicle or object
85,THE IV DRIVER WAS BACKING UP TO PARK IN A DIFFERENT SPOT AT THE   COSTCO LOCATION WHEN THE IV'S D/S REAR END MADE CONTACT WITH AN   OV'S FRONT P/S CAUSING DAMAGE. THERE WERE NO INJURIES REPORTED.,AB,Backed into vehicle or object
86,ID REAR ENDED OV.,AD,Struck vehicle in rear
87,LADDER COME OFF THE TOP OF IV. CLMT ALLEGES THE LADDER BOUNCED    OVER OV TRUCK AND HIT OV TRAILER.,AD,Not Otherwise Classified
88,"SP WAS BACKING OUT OF DRIVEWAY, STRUCK AND DAMAGED LANDSCAPING    FENCE POST WITH THE FRONT PASSENGER CORNER OF SP VEHICLE.  ALSO   DAMAGE TO SP FRONT PASSENGER CORNER.",AD,Damage to landscaping
89,"NORMAND RABOIN WAS DRIVING THE VEHICLE SOUTH ON HWY 29 IN         VIRGINIA, HEADING BACK TO THE DEALERSHIP AFTER DELIVERING SOME    PARTS. A DEER RAN OUT IN FRONT OF THE VEHICLE CAUSING NORM TO     SERVE TO THE RIGHT, AT THIS POINT NORM WAS HEADING FOR A GUARDRAILSO HE SWERVED TO RIGHT AGAIN AND ENDED UP IN A RAVINE/DITCH.      CAUSING DAMAGE TO THE FRONT PASSENGER SIDE OF THE VEHICLE.",AD,Vehicle Accident
90,THEORY: DUMP TRUCK BACKED INTO EFREN PACHECO TRUCK 1 531. SCHADE  DRIVER DENIES INCIDENT.,AP,Backed into vehicle or object
91,"OP LUIS LEGARDA LOST CONTROL ON THE INSIDE LEFT TURN LANE AND         HIT OI DRIVER MICHAEL CURTIS WHO WAS ON THE OUTSIDE LEFT TURN LANE. OI TRIED WORKING WITH THE OP CARRIER, BUT THEY ARE NOT      ACCEPTING LIABILITY OI HAS WITNESS STATEMENTS INDICATING THAT IT  WAS OP'S FAULT. SEE ATTACHED ACCIDENT REPORT, ESTIMATE, PHOTOS ANDCORRESPONDENCE WITH OP    CARRIER.",AP,Sideswipe or lane change
92,"BUS SLID ON ICE, HIT A TELEPHONE POLE. POLE CAME DOWN TAKING DOWN WIRES AND BLOWING A TRANSFORMER.  IN ADDITION TO POLE CRASHING    DOWN THE END OF THE DRIVEWAY CRUSHING LIGHTING AND BRICK HOUSING. DRIVER WAS TAKEN TO HOSPITAL, TREATED, AND RELEASED.  THERE WERE  ALSO ABOUT 8 STUDENTS ON BOARD.",AB,Struck animal or object
93,"UPON PULLING INTO A PARKING SPACE, THE IV DRIVER WAS TOLD THAT HE STRUCK THE REAR OF THE OV WHILE COMING OVER THE CURB WITH THE IV'STRAILER. THE OV INCURRED DENTS TO THE REAR D/S BUMPER. THERE WERE NO INJURIES REPORTED.",AD,Struck parked vehicle
94,"01/09/2023  98718 // LR WHEEL OFF //  1/29/2023 99,78",GD,Alleged Negligent Act
95,JAR OF SAUCE FELL FROM SHELF ONTO FLOOR AND STEPPED ON BROKEN     GLASS,GB,Alleged Negligent Act
96,THE IV WAS MAKING A RIGHT TURN AND STRUCK THE OV ON THE ROAD. THE OV FRONT P/S QUARTER PANEL IS DENTED. NO INJURIES REPORTED.,AD,Sideswipe or lane change
97,IV  STOPPED TO TURN LEFT WHEN CV HIT IV  IN REAR,AP,Our vehicle struck in rear
98,"GUEST CLAIMS SERVER SPILLED AN ALCOHOLIC DRINK ON THE TABLE, AND  IT DAMAGED THEIR PHONE.  SAID THE SPEAKER (FOR PLAYING VIDEOS)    SOUND WAS DISTORTED. EVERYTHING ELSE ON THE PHONE WAS IN WORKING  CONDITION.  IPHONE 13 MAX PRO, VERIFIED THROUGH THE SETTINGS ON   SAID PHONE.",GD,Alleged damage to property of others
99,HAS A ROCK CHIP OR CRACK TO THE WINDSHIELD,GD,Road debris/road hazard
100,"TOILET FLOODED IN UNIT 2302, CAUSING DAMAGE DOWN TO UNIT 2202, 2102 , 2101 AND  PARKING GARAGE.",GD,"Plumbing,Heating,AC,Discharge,Overflowing"
101,ALEJANDRO WENT THROUGH THE CAR WASH. THERE WERE SCUFF MARKS ON THEDRIVER'S SIDE. ON THE TOP ROOF LEFT SIDE.,GD,Car Wash
102,"MEMBER CLAIMS "" AFTER SHOPPED AT COSTCO WALKED TO MY CAR. CART    NEXT TO MY CAR 2INCHES AWAY. WINDY AT THE TIME. PARKING LOT EMPTY""",GD,Cart
103,GUEST'S WHITE TOYOTA FORERUNNER HAD THE BACK WINDOW BROKEN AND THEGUEST CLAIMED THAT A LAPTOP WAS STOLEN.,GD,Alleged lack of security
104,IN REGARDS TO THE PIPES FREEZING IN THE CHURCH BUILDING. ON FRIDAYDECEMBER 23 2022 OUR MAINTENANCE MEN FOUND NO HOT WATER RUNNING INTHE MEN?S RESTROOM AND NO COLD WATER RUNNING AT ONE SINK IN THE   WOMEN?S RESTROOM. I LEFT THE HEAT ON AND OPENED ALL THE DOORS. ON SUNDAY DECEMBER 25 2022 THE MAINTENANCE MAN OPENED THE CHURCH AT  7:00AM TO FIND WATER RUNNING AND THE CEILING IN THE SACRISTY AND  USHER ROOM ON THE FLOOR.,RB,"Freezing of Plumbing, Heating, AC System"
105,ENCLOSED IS A LETTER OF REPRESENTATION FROM JOHN FOY & ASSOCIATES CONCERNING THE PERSONAL   INJURIES CLAIMANT SUSTAINED ON THE PREMI,GB,Not Otherwise Classified
106,REPORTED BY CLAIMANT TO LOCKTON.CLAIMANT TURNED LEFT OVER ONCOMINGTRAFFIC LANES INTO DRIVEWAY OF RIO GRANDE GROCERY STORE WHEN ID   NORA OROPEZA PULLED OUT FROM DRIVEWAY AND STRUCK CLAIMANT'S       VEHICLE.NO INJURIES.,AD,Alleged Negligent Act
107,"ON 1/18/2023 AROUND 9:10 AM THE RESIDENT IN #0628, ALYCIA BELL, REPORTED TO LEASING PROFESSIONAL, CAROLINE CANO, THAT THE  RESIDENT",GD,"Human Action, NOC"
108,"CUSTOMER ATE MULTIPLE PRODUCTS AND EXPERIENCED FBI SYMPTOMS.      BELIEVES THE ISSUE WAS WITH ROMAINE FROM THE WET RACK EATEN AT 8PMON 11/9. UNSURE IF IT WAS ORGANIC OR CONVENTIONAL 94640 OR 4640.  DIAHREA, VOMITING, & BLOATED STOMACH STARTING 4 HOURS AFTER EATINGTHE ROMAINE. ALSO SAID SHE WAS EXPERINCING BURPING WITH A SULFUR  TASTE IN THE MORNING.",PA,Food Product
109,"FLASH ALERT- AT APPROXIMATELY 7:20 AM DRIVER VEERED TOO FAR TO THELEFT, HITTING A PARKED PICK-UP TRUCK. SCHOOL DISTRICT AND EMS WAS CALLED, THE CHILDREN WERE CHECKED AND RELEASED. OUR VEHICLE WAS   TOWED AND EMPLOYEE WAS TICKETED. DRIVER WAS TAKEN FOR POST        COLLISION DA TESTING.  NO MEDIA AT THIS TIME.",AB,Struck parked vehicle
110,MBR ADVISED THAT THEY GOT UNLEADED GAS AND SHE DROVE OUT OF HER   GARAGE AND THE CAR SPUTTERED AND DIED.  SHOP SAID WATER IS IN GAS.,GD,Alleged Negligent Act
111,"SMALL PD. THE IV WAS DRIVING ON ADAMS AVENUE EAST., AND HAD TO    MOVE TO THE SIDE SUDDENLY. THE OV WAS BACKING ON THE OPPOSITE SIDEOF THE ROAD, WHEN IT MADE CONTACT WITH THE IV REAR TIRE. NO       INJURIES. THE IV HAS NO DAMAGE. THE OV HAS DAMAGE TO THE REAR P/S PLASTIC LIGHT COVER AND THERE ARE SMUDGE MARKS ON THE REAR FENDER.",AD,Sideswipe or lane change
112,GLASS LOSS 2012 AUDI A6 SEDAN VIN - WAUJGAFC0CN056774,AP,Windshield
113,"CLAIMANT ALLEGES HE WAS ENTERING THE STORE, WHEN HE SLIPPED ON THEWET FLOOR AND FELL. THIS RESULTED IN PAIN TO HIS LT ANKLE. SOURCE OF LIQUID IS UNKNOWN.",GB,Alleged Negligent Act
